Review_id,Ratings,Heads,Texts,Flavor,Sweet,Lasting
1,5.0,Great taste,Loved it!,5.0,5.0,5.0
2,5.0,Love this brand,"Long lasting, quick charge, some of the flavors aren't that great but it's a rare instance and not uncommon when you try new things. Very consistent product",5.0,4.0,5.0
3,4.0,Elf bar,Flavor was good,4.0,3.0,3.0
4,5.0,Peach Ice,Great flavor. Not to sweet and right amount of ice,5.0,5.0,5.0
5,5.0,Flavor is on poin,Flavor is amazing. Long lasting. Love it!,5.0,5.0,5.0
6,5.0,Great,Good,4.0,5.0,5.0
7,5.0,Like them,Likethe,5.0,4.0,4.0
8,5.0,Elf Bar Vapes are awesome,I really like Elf Bar Vapes There are several flavors I enjoy And the fact that they are rechargeable is even better,5.0,4.0,4.0
9,5.0,vape,I like them,5.0,5.0,5.0
10,5.0,Legit,"Elf Bar is my go to, would buy more if Strawberry Cream was in stock.",5.0,5.0,5.0
11,5.0,God Stuff,Good flavor that lasts long,5.0,5.0,5.0
12,5.0,Super sweet,Hits great and has a lot of flavor every time. Really sweet if you like that type of stuff.,5.0,5.0,5.0
13,5.0,Elf Bar is the best disposable vape!,I just ordered a bunch with all different flavors and so far I’m enjoying them. Bold flavors and long lasting.,5.0,5.0,4.0
14,5.0,Thumbs 👍,Nice hit and flavor,5.0,4.0,5.0
15,5.0,so many options,"so many flavors, so keep track of the ones you really like so you can reorder.",5.0,5.0,5.0
16,5.0,Best bang for your buck,These elf bars last me months!,5.0,4.0,5.0
17,5.0,Elf Bar BC5000 Strawberry Pina Colada,Great taste.,5.0,5.0,4.0
18,5.0,Favorite,One of my favorites would recommend,5.0,5.0,5.0
19,4.0,Not Bad At All,A decent product. A charge lasts about a couple of days and the flavor isn’t too bad. Not sure if I’d buy this same one again (watermelon bubble gum) as it may be just a LITTLE too sweet for me. But all my friends think it’s amazing so if that’s any consolation haha,4.0,5.0,4.0
20,5.0,Pineapple Coconut,I detected coconut with a hint of pineapple. Should be listed as Coconut Pineapple.,4.0,4.0,4.0
21,5.0,A new favorite!!,Fantastic!,5.0,5.0,5.0
22,5.0,Sour apple,It is a good brand little less than a head high good mix with lucid icy mint,5.0,5.0,3.0
23,5.0,Watermelon jolly candy ice,Another one of my favorites from elf bar!,5.0,3.0,5.0
24,5.0,Great flavour,Keeps the nicotine urges away and has a great flavour,5.0,5.0,5.0
25,5.0,Great Flavor,"Love Elf bars. Flavor is great, throat hit is perfect, and they last as long as advertised. Love the Strawberry Watermelon and the Strawberry Cream flavors!!",5.0,3.0,5.0
26,5.0,Blue razz,Amazing,5.0,4.0,5.0
27,5.0,Worth the cop,"Good flavor, long lasting",5.0,5.0,4.0
28,5.0,Really nice,These are the best super long lasting and all flavors so far have been great,5.0,5.0,5.0
29,5.0,Nice,Nice,5.0,4.0,5.0
30,5.0,Perfect!,Can't go wrong with this guy!,5.0,5.0,5.0
31,5.0,Elf bars,They have good flavor every time,5.0,5.0,5.0
32,4.0,Good Flavour,"Took 2 flavours, Fuji Ice and Watermelon Ice. Fuji was meh but Watermelon blew my ""melons"". It tastes amazing. Fuji vape didn't last as much though. Probably a manufacturing issue but no issue with Watermelon.",4.0,4.0,3.0
33,4.0,Not the best,"It’s not the best flavor that they have, but it wasn’t bad",3.0,3.0,4.0
34,5.0,Great flavor,Great flavor and perfect size to put in your pocket and go,5.0,4.0,5.0
35,5.0,awesome,I like them a lot better than the smok vape mods that you have to add juice too,5.0,5.0,5.0
36,5.0,Great product,Elf bar makes a great product there flavors and compact size are top-of-the-line,5.0,5.0,5.0
37,5.0,Great flavor !,"Fast shipment and came quickly. My go to website for purchases, always quick and has the best flavors in stock !",5.0,5.0,5.0
38,5.0,My fav,"My go to brand when purchasing a vape, strawberry banana all day!",5.0,4.0,5.0
39,5.0,Good,What was better then the elf bar was the shipping time 1 day shipping almost every order!,5.0,3.0,3.0
40,5.0,Best,"I love these disposable vapes. The best I have tried. They last a really long time, about 3 weeks!",5.0,5.0,5.0
41,5.0,One of our favorites,This one is one of our favorites. Love the flavor,4.0,5.0,5.0
42,5.0,Elf bar,Everything with elfbar is great and so are all there flavors. For those that vape elfbar you know what your getting for those new to disposables elfbar are as good as it gets . Oh and so far all flavors have that coolada or menthol in them,5.0,5.0,5.0
43,5.0,Great,Great,5.0,5.0,5.0
44,5.0,Love!,These are the best I’ve used!,5.0,4.0,5.0
45,4.0,Great product but Depends on Flavor and batch!,I’ve been buying these for months and my go to flavors are peach berry and peach ice. other flavors like cotton candy have artificial tastes and burn out faster. also you may get a batch that burns out faster so you gotta try your luck,5.0,4.0,4.0
46,5.0,Nice taste,It’s a nice flavor and it’s almost like getting a yummy drink at the same time.,5.0,5.0,5.0
47,5.0,Great,Good price,5.0,5.0,5.0
48,4.0,Bluerazz,Great flavor. Reminds me of the old little stick vapes in this flavor,4.0,4.0,4.0
49,5.0,Watermelon Bubblegum,Bought 7 of these. When the flavor seems to be less strong a quick charge brings it back.,5.0,5.0,5.0
50,5.0,They’re awesome!,It’s awesome! They’ve never taken longer than a day to deliver them,5.0,5.0,5.0
51,5.0,Better than xtra puff limited,"I like this product , better than xtra puff lited",5.0,5.0,5.0
52,5.0,Elfbars,"I enjoyed almost every flavor I've tried, but several didn't last for 3000 puffs.",5.0,5.0,3.0
53,5.0,Good product,Liked the flavor. Lasted longer than I thought it would.,5.0,5.0,5.0
54,5.0,Lemon mint,It’s great ! It’s my favorite one,5.0,3.0,5.0
55,5.0,Ol' reliable,I keep coming back to these. Great flavors. I wish they lasted longer.,5.0,4.0,3.0
56,5.0,Strawberry mango flavor,So good. Wish I would have found these a while back when I was buying hyppe max flow every couple days. These last WAY longer,5.0,4.0,5.0
