Review_id,Ratings,Dates,Date_Category,Heads,Texts,Flavor,Sweet,Lasting
1,5.0,1 month,Less than 2 months,Fresh,Good!,5.0,5.0,5.0
2,1.0,2 months,Less than 2 months,Tastes like an ashtray,I thought it might help with the urge to smoke but it was just nasty.,1.0,1.0,1.0
3,5.0,2 months,Less than 2 months,Great Vape,"Great Flavor, long lasting",5.0,5.0,5.0
4,5.0,2 months,Less than 2 months,Strawberry mango,Best flavor and last so long,5.0,5.0,5.0
5,2.0,2 months,Less than 2 months,Not my favorite,This was not the vape for me. Will not purchase again,2.0,2.0,2.0
6,5.0,3 months,3 months to 5 months ago,The best,I Would recommend it to anyone.,5.0,5.0,5.0
7,5.0,3 months,3 months to 5 months ago,Decent,Decent,4.0,3.0,3.0
8,5.0,3 months,3 months to 5 months ago,Strawberry mango,Love it great flavor,5.0,5.0,5.0
9,2.0,3 months,3 months to 5 months ago,Just ok,Average flavor. Not memorable. Not terrible. Good to alternate,3.0,5.0,4.0
10,4.0,3 months,3 months to 5 months ago,Good flavor,Definitely a good contender of disposable vapes,4.0,5.0,3.0
11,5.0,3 months,3 months to 5 months ago,Great!,Very yummy. Almost as good as Elf,5.0,4.0,5.0
12,5.0,3 months,3 months to 5 months ago,good brand,good flavor,5.0,5.0,5.0
13,5.0,3 months,3 months to 5 months ago,good brand,good flavor,5.0,5.0,5.0
14,5.0,3 months,3 months to 5 months ago,Great flavors,Really good and long lasting,5.0,5.0,5.0
15,5.0,3 months,3 months to 5 months ago,Taste good,Not sure I’d order again,4.0,4.0,3.0
16,5.0,3 months,3 months to 5 months ago,Phun Mojito Red,It’s very intense. Purchased due to Elfbar Mojito Red not longer in stock. It’s comparable minus the menthol.,4.0,4.0,5.0
17,5.0,3 months,3 months to 5 months ago,Satisfied Customer,Good Vape. My husband discovered them while in California.,4.0,4.0,5.0
18,5.0,4 months,3 months to 5 months ago,My favorite,This is my all time favorite,5.0,5.0,5.0
19,5.0,4 months,3 months to 5 months ago,Great flavor,Love these,5.0,5.0,4.0
20,4.0,4 months,3 months to 5 months ago,Good,"Long lasting, but cheap structured",4.0,4.0,4.0
21,5.0,4 months,3 months to 5 months ago,Loved it,Very smooth flavor and nice .. recommended and I’ll get more,5.0,3.0,5.0
