Review_id,Ratings,Dates,Date_Category,Heads,Texts,Flavor,Sweet,Lasting
1,5.0,5 hours,Less than 2 months,Slaps,Good,4.0,4.0,4.0
2,5.0,4 days,Less than 2 months,Slaps,Very tasty would buy again,5.0,4.0,5.0
3,5.0,15 days,Less than 2 months,Great,"Flavor was pretty good, lasted a really long time which was awesome",4.0,5.0,5.0
4,5.0,21 days,Less than 2 months,Will order again,I will order again to try our other flavors. It hits great and has good flavor.,5.0,5.0,5.0
5,5.0,2 months,Less than 2 months,Love these vapes,These are awesome but you guys are all sold out. Please let me know when you have them back in stock,5.0,5.0,5.0
6,5.0,2 months,Less than 2 months,Best flavor,I love the flavors it is a perfect blend,5.0,5.0,5.0
7,3.0,2 months,Less than 2 months,Lasts long but weird flavor,Love the air flow adjuster and flavor lasts very long. But it has a weird plastic flavor to it.,2.0,3.0,5.0
8,3.0,3 months,3 months to 5 months ago,meh,had decent flavor but burnt out fast,3.0,4.0,2.0
9,5.0,3 months,3 months to 5 months ago,Slaps,They slap fr,5.0,4.0,5.0
10,5.0,4 months,3 months to 5 months ago,Love it,Very good,5.0,4.0,5.0
11,5.0,5 months,5 months to 1 year ago,Long lasting!,Steady flavor and long lasting!,,,
12,5.0,5 months,5 months to 1 year ago,Great Vape,"This is a great vape, highly recommend!",,,
13,5.0,5 months,5 months to 1 year ago,Yum!,This is a fave!,,,
14,1.0,6 months,5 months to 1 year ago,Flavor was terrible,I wasn’t a fan of this device. The output sprayed and was inconsistent with settings,,,
15,3.0,6 months,5 months to 1 year ago,Alright,Last long,,,
16,5.0,6 months,5 months to 1 year ago,Great stuff,Easy. Quick. Fast.,,,
17,4.0,6 months,5 months to 1 year ago,Decent,"Fit nicely in my hand. Good, strong flavor, but leaked quite a bit.",,,
18,3.0,7 months,5 months to 1 year ago,Didn't like it,Vape wasn't that smooth and had a harsh taste when smoking,,,
19,3.0,9 months,5 months to 1 year ago,Flavor is good,I only give 3 stars for the lack of quality on the actual vape container/build/shape. The flavor is ok and for the price it’s decent.,,,
20,2.0,10 months,5 months to 1 year ago,"Ok taste, bulky design",The flavor was decent. Not my favorite. The design is too bulky for my liking though. The mouth piece is oddly shaped which made hitting it annoying and had to be precise VS other brands with circular mouth pieces.,,,
21,5.0,11 months,5 months to 1 year ago,Amazing !!,Best flavors out there !!!,,,
22,5.0,1 year,Less than 2 months,great,long lasting,,,
23,5.0,1 year,Less than 2 months,Dank,Fire,,,
24,5.0,1 year,Less than 2 months,slaps disposable,flavor is good..and last a long time,,,
25,5.0,1 year,Less than 2 months,I’ve pleased,Very smooth hitting. long lasting No leakage,,,
26,5.0,1 year,Less than 2 months,My favorite,By far my favorite vapeI've got.,,,
27,5.0,1 year,Less than 2 months,Great flavor,Long lasting same tase from beggining to end.,,,
28,5.0,1 year,Less than 2 months,Slaps vapes,"Smooth hit, rechargeable, and last a long time",,,
29,5.0,1 year,Less than 2 months,"Rechargeable Vape, Great Flavor",I love the flavors and that it is rechargeable. So many disposable vapes I have bought run out of battery before the flavor does. This vape allows you to recharge it. I also like the adjustable airflow it comes with. The price is great too. It is a long lasting vape. The design could use some work but it's small enough to fit in my hand and pockets.,,,
30,5.0,1 year,Less than 2 months,Slaps disposable Vape,The best out there. Keep it in STOCK,,,
31,5.0,1 year,Less than 2 months,Slaps disposable Vape,"I have ordered 3 and I'm glad to say this vape is amazing!!!
I hope you can keep this vape in stock... Hands down the BEST😃😃😃😃",,,
32,5.0,1 year,Less than 2 months,Love it,One of my favorite flavors and lasts a while,,,
33,5.0,1 year,Less than 2 months,Super good!,Love the flavor! Love grape anything this is the one for you!,,,
34,5.0,1 year,Less than 2 months,nice design,good vape,,,
35,5.0,1 year,Less than 2 months,Chargeble,"I love this, you can finish all the juice because is chargeble. Cool flavor.",,,
36,5.0,1 year,Less than 2 months,A-MAZ-ING,This one is absolutely FANTASTIC!! Its sooo smooth and sooooo flavorful!! It definitely lasts for quite a long time! Its ine of my favorite that I've ordered so far. Will definitely be buying this one again!,,,
37,5.0,1 year,Less than 2 months,Slaps,Great flavor and feels secure in hand,,,
38,5.0,1 year,Less than 2 months,Great flavor,Awesome,,,
39,3.0,1 year,Less than 2 months,Peach flavor,The peach flavor is refreshing but my favorite is iced strawberry watermelon…THE BEST!!!,,,
40,5.0,1 year,Less than 2 months,Amazing flavor,A must try. I absolutely love the flavor,,,
41,5.0,1 year,Less than 2 months,good,unique shape and good flavor. strawberry watermelon ice is worth trying.,,,
42,1.0,1 year,Less than 2 months,Too sweet…,★☆☆☆☆,,,
43,5.0,1 year,Less than 2 months,Slaps slaps!,Good strong flavor nice shape and good amount of puffs!,,,
44,5.0,1 year,Less than 2 months,mhmm,🔥,,,
